column,dtype,missing_count,missing_pct,unique_values
emp_length,float64,78511,5.84,11
mort_acc,float64,47281,3.51,39
revol_util,float64,857,0.06,1373
pub_rec_bankruptcies,float64,697,0.05,12
dti,float64,374,0.03,7067
installment,float64,0,0.0,83307
grade,str,0,0.0,7
sub_grade,int64,0,0.0,35
int_rate,float64,0,0.0,654
loan_amnt,float64,0,0.0,1556
term,int64,0,0.0,2
funded_amnt,float64,0,0.0,1556
purpose,str,0,0.0,14
verification_status,str,0,0.0,3
annual_inc,float64,0,0.0,64362
home_ownership,str,0,0.0,6
inq_last_6mths,float64,1,0.0,9
delinq_2yrs,float64,0,0.0,31
fico_range_low,float64,0,0.0,40
fico_range_high,float64,0,0.0,40
revol_bal,float64,0,0.0,83810
pub_rec,float64,0,0.0,37
open_acc,float64,0,0.0,84
total_acc,float64,0,0.0,142
target,int64,0,0.0,2
issue_year,int32,0,0.0,12
issue_month,int32,0,0.0,12
credit_history_years,float64,0,0.0,739
